electrolyte,max_molality_original,r_M_angstrom,r_X_angstrom,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_radius_hydrated,anion_1_viscosity_jones_dole,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_radius_hydrated,cation_1_viscosity_jones_dole,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,electrolyte_type_numeric,cation_type_numeric,anion_type_numeric,ln_gamma_at_90RH,RH_actual_for_ln_gamma_90,ln_gamma_at_70RH,RH_actual_for_ln_gamma_70,ln_gamma_at_50RH,RH_actual_for_ln_gamma_50,ln_gamma_at_30RH,RH_actual_for_ln_gamma_30
AgNO3,6.0,1.15,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-492.0,1.648E-05,107.8682,1.0,3.41,0.09,-0.0856,0.0025,0.0,0.0059,11,1,1,0.1078565337,0.9005656566,,,,,,
CsBr,5.0,1.7,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.0279,0.0139,0.0,0.0,11,1,1,0.0194716521,0.9000545455,,,,,,
CsCl,5.0,1.7,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.03,0.0558,0.0,0.0004,11,1,1,0.0071150582,0.9007575758,,,,,,
CsCl,5.0,1.7,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.03,0.0558,0.0,0.0004,11,1,1,0.0071150582,0.9007575758,,,,,,
CsF,3.5,1.7,1.33,-425.0,1.475E-05,18.9984032,1.0,3.52,0.107,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.1306,0.257,0.0,-0.0043,11,1,0,,,,,,,,
CsI,3.0,1.7,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.0244,0.0262,0.0,-0.0037,11,1,1,,,,,,,,
CsNO2,6.0,1.7,1.92,-340.0,1.912E-05,46.0055,3.0,3.35,-0.005,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.0427,0.06,0.0,-0.0051,11,1,1,,,,,,,,
CsNO3,1.4,1.7,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,-0.0758,-0.0669,0.0,0.0,11,1,1,,,,,,,,
CsOH,1.2,1.7,1.33,-428.0,5.273E-05,17.00734,2.0,3.0,0.122,-310.0,1.334E-05,132.9054519,1.0,3.29,-0.047,0.15,0.3,0.0,0.0,11,1,0,,,,,,,,
HBr,3.0,0.3,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-1108.0,9.311E-05,1.00794,1.0,3.58,0.068,0.196,0.3564,0.0,0.0083,11,0,1,,,,,,,,
HCl,6.0,0.3,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1108.0,9.311E-05,1.00794,1.0,3.58,0.068,0.1775,0.2945,0.0,0.0008,11,0,1,-0.0248997862,0.8964545455,-0.1732408191,0.703,-0.4210785568,0.5014848485,-0.8339883787,0.299969697
HClO4,5.5,0.3,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-1108.0,9.311E-05,1.00794,1.0,3.58,0.068,0.1747,0.2931,0.0,0.0082,11,0,1,,,,,,,,
HI,3.0,0.3,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-1108.0,9.311E-05,1.00794,1.0,3.58,0.068,0.2362,0.392,0.0,0.0011,11,0,1,,,,,,,,
HNO3,3.0,0.3,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-1108.0,9.311E-05,1.00794,1.0,3.58,0.068,0.1119,0.3206,0.0,0.001,11,0,1,,,,,,,,
KBr,5.5,1.38,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.0569,0.2212,0.0,-0.0018,11,1,1,0.0009476116,0.9000686869,,,,,,
KBrO3,0.5,1.38,1.91,-304.0,1.483E-05,127.9022,4.0,3.51,0.009,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,-0.129,0.2565,0.0,0.0,11,1,1,,,,,,,,
KCl,4.8,1.38,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.0484,0.2122,0.0,-0.0008,11,1,1,0.0009037396,0.9003333333,,,,,,
KClO3,0.7,1.38,2.0,-300.0,1.72E-05,83.4512,4.0,3.41,-0.022,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,-0.096,0.2481,0.0,0.0,11,1,1,,,,,,,,
KF,2.0,1.38,1.33,-425.0,1.475E-05,18.9984032,1.0,3.52,0.107,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.0809,0.2021,0.0,0.0009,11,1,0,,,,,,,,
KH2PO4,1.8,1.38,2.38,-300.0,9.59E-06,96.987242,7.0,3.35,-0.005,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,-0.0678,-0.1042,0.0,0.0,11,1,1,,,,,,,,
KHCO3,1.0,1.38,1.85,-299.0,1.185E-05,61.016840000000000,5.0,3.35,-0.005,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,-0.022,0.09,0.0,0.0,11,1,1,,,,,,,,
KI,4.5,1.38,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.0746,0.2517,0.0,-0.0041,11,1,1,,,,,,,,
KNO2,5.0,1.38,1.92,-340.0,1.912E-05,46.0055,3.0,3.35,-0.005,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.0151,0.015,0.0,0.0007,11,1,1,,,,,,,,
KNO3,3.5,1.38,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,-0.0816,0.0494,0.0,0.0066,11,1,1,,,,,,,,
KOH,5.5,1.38,1.33,-428.0,5.273E-05,17.00734,2.0,3.0,0.122,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.1298,0.32,0.0,0.0041,11,1,0,,,,,,,,
KSCN,5.0,1.38,2.13,-247.0,1.758E-05,58.0824,3.0,3.35,0.022,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.0416,0.2302,0.0,-0.0025,11,1,1,,,,,,,,
LiBr,2.5,0.69,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.1748,0.2547,0.0,0.0053,11,0,1,-0.0222327159,0.8964343434,-0.180647981,0.6968787879,-0.4426485734,0.4973232323,-0.8718340795,0.2977676768
LiCl,6.0,0.69,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.1494,0.3074,0.0,0.0036,11,0,1,-0.0254450815,0.9004747475,-0.1655554162,0.7034646465,-0.420530715,0.4978888889,-0.8300628163,0.3008787879
LiClO4,3.5,0.69,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.1973,0.3996,0.0,0.0008,11,0,1,0.0135532169,0.9004212121,,,,,,
LiI,1.4,0.69,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.2104,0.373,0.0,0.0,11,0,1,-0.0374388545,0.8973636364,-0.1858931497,0.6983737374,-0.4431091768,0.4993838384,-0.8853215325,0.3003939394
LiNO2,6.0,0.69,1.92,-340.0,1.912E-05,46.0055,3.0,3.35,-0.005,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.1336,0.325,0.0,-0.0053,11,0,1,,,,,,,,
LiNO3,6.0,0.69,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.142,0.278,0.0,-0.0055,11,0,1,-0.0165565727,0.8999090909,,,,,,
LiOH,4.0,0.69,1.33,-428.0,5.273E-05,17.00734,2.0,3.0,0.122,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.015,0.14,0.0,0.0,11,0,0,0.0046984097,0.8998686869,,,,,,
NaBr,4.0,1.02,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0973,0.2791,0.0,0.0012,11,1,1,-0.0188938843,0.8986363636,-0.1395654266,0.7000909091,,,,
NaBrO3,2.5,1.02,1.91,-304.0,1.483E-05,127.9022,4.0,3.51,0.009,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,-0.0205,0.191,0.0,0.0059,11,1,1,,,,,,,,
NaCl,6.0,1.02,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0765,0.2664,0.0,0.0013,11,1,1,-0.0084130251,0.8988989899,,,,,,
NaClO4,6.0,1.02,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0554,0.2755,0.0,-0.0012,11,1,1,-0.0145216555,0.8999090909,,,,,,
NaF,1.0,1.02,1.33,-425.0,1.475E-05,18.9984032,1.0,3.52,0.107,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0215,0.2107,0.0,0.0,11,1,0,,,,,,,,
NaF,1.0,1.02,1.33,-425.0,1.475E-05,18.9984032,1.0,3.52,0.107,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0215,0.2107,0.0,0.0,11,1,0,,,,,,,,
NaH2PO4,6.0,1.02,2.38,-300.0,9.59E-06,96.987242,7.0,3.35,-0.005,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,-0.0533,0.0396,0.0,0.008,11,1,1,,,,,,,,
NaHCO3,1.0,1.02,1.85,-299.0,1.185E-05,61.016840000000000,5.0,3.35,-0.005,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0277,0.0411,0.0,0.0,11,1,1,,,,,,,,
NaI,3.5,1.02,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.1195,0.3439,0.0,0.0018,11,1,1,-0.0181079446,0.8991494949,-0.1539247016,0.7018979798,,,,
NaNO2,5.0,1.02,1.92,-340.0,1.912E-05,46.0055,3.0,3.35,-0.005,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0641,0.1015,0.0,-0.0049,11,1,1,,,,,,,,
NaNO3,6.0,1.02,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0068,0.1783,0.0,-0.0007,11,1,1,,,,,,,,
NaSCN,4.0,1.02,2.13,-247.0,1.758E-05,58.0824,3.0,3.35,0.022,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.1005,0.3582,0.0,-0.00303,11,1,1,,,,,,,,
NH4Cl,6.0,1.48,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-345.0,1.957E-05,18.03846,5.0,3.31,-0.008,0.0522,0.1918,0.0,-0.003,11,1,1,0.0018625002,0.8998787879,,,,,,
NH4ClO4,2.0,1.48,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-345.0,1.957E-05,18.03846,5.0,3.31,-0.008,-0.0103,-0.0194,0.0,0.0,11,1,1,,,,,,,,
NH4NO3,6.0,1.48,1.79,-300.0,1.902E-05,62.0049,4.0,3.35,-0.005,-533.0,1.334E-05,53.4670725,1.0,3.58,0.085,-0.0154,0.112,0.0,0.0,11,1,1,,,,,,,,
RbBr,5.0,1.49,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-333.0,2.072E-05,85.4678,1.0,3.29,-0.033,0.0396,0.153,0.0,-0.0014,11,1,1,,,,,,,,
RbCl,5.0,1.49,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-333.0,2.072E-05,85.4678,1.0,3.29,-0.033,0.0441,0.1483,0.0,-0.001,11,1,1,-0.0005620424,0.9005909091,,,,,,
RbF,3.5,1.49,1.33,-425.0,1.475E-05,18.9984032,1.0,3.52,0.107,-333.0,2.072E-05,85.4678,1.0,3.29,-0.033,0.1141,0.2842,0.0,-0.0105,11,1,0,,,,,,,,
RbI,5.0,1.49,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-333.0,2.072E-05,85.4678,1.0,3.29,-0.033,0.0397,0.133,0.0,-0.0011,11,1,1,,,,,,,,
RbNO2,5.0,1.49,1.92,-340.0,1.912E-05,46.0055,3.0,3.35,-0.005,-333.0,2.072E-05,85.4678,1.0,3.29,-0.033,0.0269,-0.1553,0.0,-0.0037,11,1,1,,,,,,,,
RbNO3,4.5,1.49,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-333.0,2.072E-05,85.4678,1.0,3.29,-0.033,-0.0789,-0.0172,0.0,0.0053,11,1,1,,,,,,,,
(NH4)2SO4,5.5,1.48,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-345.0,1.957E-05,18.03846,5.0,3.31,-0.008,0.0409,0.6585,0.0,-0.0012,12,1,1,,,,,,,,
K2SO4,0.7,1.38,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-356.0,1.957E-05,39.0983,1.0,3.31,-0.009,0.05,0.7793,0.0,0.0,12,1,1,,,,,,,,
Li2SO4,3.0,0.69,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-533.0,1.029E-05,6.941,1.0,3.82,0.146,0.1363,1.2705,0.0,-0.004,12,0,1,0.0068757683,0.8998,,,,,,
Na2SO4,4.0,1.02,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-427.0,1.334E-05,22.98976928,1.0,3.58,0.085,0.0196,1.113,0.0,0.005,12,1,1,0.0437008203,0.901,,,,,,
Ba(ClO4)2,2.0,1.36,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-1338.0,8.47E-06,137.327,1.0,4.04,0.261,0.3614,1.5758,0.0,-0.0313,21,0,1,,,,,,,,
BaBr2,2.0,1.36,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-1338.0,8.47E-06,137.327,1.0,4.04,0.261,0.3146,1.5698,0.0,-0.016,21,0,1,0.0039648339,0.9004454545,,,,,,
BaCl2,1.79,1.36,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1338.0,8.47E-06,137.327,1.0,4.04,0.261,0.2628,1.4963,0.0,-0.0194,21,0,1,,,,,,,,
BaI2,1.8,1.36,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-1338.0,8.47E-06,137.327,1.0,4.04,0.261,0.4219,1.6868,0.0,-0.0174,21,0,1,,,,,,,,
Ca(ClO4)2,2.0,1.0,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-1593.0,7.92E-06,40.078,1.0,4.12,0.284,0.4511,1.7565,0.0,-0.005,21,0,1,,,,,,,,
CaBr2,2.0,1.0,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-1593.0,7.92E-06,40.078,1.0,4.12,0.284,0.3816,1.6133,0.0,-0.0026,21,0,1,-0.0086049039,0.8986818182,-0.1595586586,0.7010909091,,,,
CaCl2,2.5,1.0,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1593.0,7.92E-06,40.078,1.0,4.12,0.284,0.3159,1.614,0.0,-0.0003,21,0,1,-0.0272691282,0.9025353535,-0.1850148217,0.7031414141,-0.4532569276,0.4971010101,,
CaI2,2.0,1.0,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-1593.0,7.92E-06,40.078,1.0,4.12,0.284,0.4379,1.8068,0.0,-0.0008,21,0,1,0.007998457,0.8998858586,,,,,,
Co(NO3)2,5.5,0.75,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-2003.0,7.32E-06,58.933195,1.0,4.23,0.372,0.3119,1.6905,0.0,-0.0076,21,0,1,,,,,,,,
CoBr2,2.0,0.75,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-2003.0,7.32E-06,58.933195,1.0,4.23,0.372,0.427,1.6598,0.0,-0.0007,21,0,1,,,,,,,,
CoCl2,3.0,0.75,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-2003.0,7.32E-06,58.933195,1.0,4.23,0.372,0.3643,1.4753,0.0,-0.0152,21,0,1,,,,,,,,
CoI2,2.0,0.75,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-2003.0,7.32E-06,58.933195,1.0,4.23,0.372,0.5213,1.6725,0.0,-0.0047,21,0,1,,,,,,,,
Cu(NO3)2,2.0,0.73,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-586.0,1.334E-05,63.546,1.0,3.58,0.085,0.3168,1.4303,0.0,-0.0219,21,0,1,,,,,,,,
CuCl2,2.0,0.73,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-586.0,1.334E-05,63.546,1.0,3.58,0.085,0.308,1.3763,0.0,-0.0404,21,0,1,,,,,,,,
FeCl2,2.0,0.78,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1928.0,7.19E-06,55.845,1.0,4.28,0.412,0.3359,1.5323,0.0,-0.0086,21,0,1,,,,,,,,
Mg(ClO4)2,2.0,0.72,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-1918.0,7.06E-06,24.305,1.0,4.28,0.385,0.4961,2.0085,0.0,0.0096,21,0,1,,,,,,,,
MgBr2,5.0,0.72,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-1918.0,7.06E-06,24.305,1.0,4.28,0.385,0.4327,1.7528,0.0,0.0031,21,0,1,,,,,,,,
MgCl2,4.5,0.72,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1918.0,7.06E-06,24.305,1.0,4.28,0.385,0.3524,1.6815,0.0,0.0052,21,0,1,-0.0305524005,0.8981111111,-0.1968434119,0.6983333333,-0.4773012651,0.4985555556,,
MgI2,5.0,0.72,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-1918.0,7.06E-06,24.305,1.0,4.28,0.385,0.4902,1.8041,0.0,0.0079,21,0,1,,,,,,,,
MnCl2,2.5,0.83,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1848.0,7.12E-06,54.938045,1.0,4.38,0.388,0.3272,1.5503,0.0,-0.0205,21,0,1,,,,,,,,
Ni(NO3)2,5.0,0.69,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-2068.0,6.61E-06,58.6934,1.0,4.04,0.379,0.3037,2.1307,0.0,-0.0032,21,0,1,,,,,,,,
NiCl2,2.5,0.69,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-2068.0,6.61E-06,58.6934,1.0,4.04,0.379,0.3479,1.581,0.0,-0.0037,21,0,1,,,,,,,,
Sr(ClO4)2,2.5,1.13,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-1468.0,7.91E-06,87.62,1.0,4.12,0.261,0.4269,1.5668,0.0,-0.0131,21,0,1,,,,,,,,
Sr(NO3)2,2.0,1.13,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-1468.0,7.91E-06,87.62,1.0,4.12,0.261,0.1346,1.38,0.0,-0.0199,21,0,1,,,,,,,,
SrBr2,2.0,1.13,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-1468.0,7.91E-06,87.62,1.0,4.12,0.261,0.3311,1.7115,0.0,0.0012,21,0,1,-0.0038370066,0.9001454545,,,,,,
SrCl2,4.0,1.13,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1468.0,7.91E-06,87.62,1.0,4.12,0.261,0.2858,1.6673,0.0,-0.0013,21,0,1,0.0014673575,0.8994818182,,,,,,
SrI2,2.0,1.13,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-1468.0,7.91E-06,87.62,1.0,4.12,0.261,0.4013,1.86,0.0,0.0027,21,0,1,-0.0095491127,0.8994656566,-0.1616911508,0.6999020202,,,,
Zn(ClO4)2,2.0,0.75,2.25,-185.0,1.792E-05,99.4506,5.0,3.38,-0.058,-2043.0,7.03E-06,65.409,1.0,4.3,0.369,0.506,1.797,0.0,0.0113,21,0,1,,,,,,,,
Zn(NO3)2,2.0,0.75,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-2043.0,7.03E-06,65.409,1.0,4.3,0.369,0.3481,1.6913,0.0,-0.0157,21,0,1,,,,,,,,
ZnBr2,1.6,0.75,1.96,-274.0,2.08E-05,79.904,1.0,3.3,-0.033,-2043.0,7.03E-06,65.409,1.0,4.3,0.369,0.466,1.6343,0.0,-0.1079,21,0,1,,,-0.105604293,0.7016060606,-0.3389191107,0.4999090909,-0.7440920518,0.2982121212
ZnCl2,1.2,0.75,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-2043.0,7.03E-06,65.409,1.0,4.3,0.369,0.2602,1.6425,0.0,-0.088,21,0,1,0.0438928791,0.8964343434,-0.0855752309,0.6968787879,-0.3190462163,0.4973232323,-0.7089545574,0.2977676768
ZnI2,0.8,0.75,2.2,-236.0,2.045E-05,126.90447,1.0,3.31,-0.073,-2043.0,7.03E-06,65.409,1.0,4.3,0.369,0.4821,1.9455,0.0,-0.0143,21,0,1,-0.0268860267,0.8964747475,-0.124731494,0.7006565657,-0.3560080128,0.4975858586,-0.7448501413,0.3017676768
CdSO4,3.5,0.95,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-1843.0,7.19E-06,112.411,1.0,4.26,0.321,0.2053,2.617,-48.07,0.0114,22,0,1,,,,,,,,
CuSO4,1.4,0.73,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-586.0,1.334E-05,63.546,1.0,3.58,0.085,0.2358,2.485,-47.35,-0.0012,22,0,1,,,,,,,,
CuSO4,1.4,0.73,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-586.0,1.334E-05,63.546,1.0,3.58,0.085,0.2358,2.485,-47.35,-0.0012,22,0,1,,,,,,,,
MgSO4,3.0,0.72,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-1918.0,7.06E-06,24.305,1.0,4.28,0.385,0.221,3.343,-37.23,0.025,22,0,1,,,,,,,,
MnSO4,4.0,0.83,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-1848.0,7.12E-06,54.938045,1.0,4.38,0.388,0.201,2.98,0.0,0.0182,22,0,1,,,,,,,,
NiSO4,2.5,0.69,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-2068.0,6.61E-06,58.6934,1.0,4.04,0.379,0.1702,2.907,-40.06,0.0366,22,0,1,,,,,,,,
ZnSO4,3.5,0.75,2.4,-887.0,1.065E-05,96.0626,5.0,3.79,0.206,-2043.0,7.03E-06,65.409,1.0,4.3,0.369,0.1949,2.883,-32.81,0.029,22,0,1,,,,,,,,
CeCl3,1.8,1.01,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-3332.0,6.2E-06,140.116,1.0,4.52,0.57,0.6125,5.4847,0.0,-0.0311,31,0,1,,,,,,,,
Cr(NO3)3,1.4,0.62,1.79,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-1938.0,1.334E-05,51.9961,1.0,3.58,0.085,0.704,5.1847,0.0,-0.059,31,0,1,,,,,,,,
CrCl3,1.2,0.62,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1938.0,1.334E-05,51.9961,1.0,3.58,0.085,0.7364,5.2553,0.0,-0.0451,31,0,1,,,,,,,,
EuCl3,1.8,0.95,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1473.0,1.334E-05,151.964,1.0,3.58,0.085,0.6247,5.59,0.0,-0.0264,31,0,1,,,,,,,,
LaCl3,1.8,1.05,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-3277.0,6.19E-06,138.90547,1.0,4.52,0.576,0.6105,5.4873,0.0,-0.032,31,0,1,,,,,,,,
NdCl3,2.0,0.98,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1448.0,1.334E-05,144.242,1.0,3.58,0.085,0.6117,5.4027,0.0,-0.0284,31,0,1,,,,,,,,
PrCl3,2.0,1.0,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1420.0,1.334E-05,140.90765,1.0,3.58,0.085,0.602,5.454,0.0,-0.028,31,0,1,,,,,,,,
ScCl3,1.8,0.75,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1745.0,1.334E-05,44.955912,1.0,3.58,0.085,0.7,5.3187,0.0,-0.0323,31,0,1,,,,,,,,
SmCl3,1.8,0.96,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-1463.0,1.334E-05,150.36,1.0,3.58,0.085,0.622,5.5153,0.0,-0.028,31,0,1,,,,,,,,
YCl3,1.8,0.9,1.81,-300.0,2.032E-05,35.453,1.0,3.32,-0.005,-3523.0,5.5E-06,88.90585,1.0,3.58,0.085,0.6399,5.444,0.0,-0.0226,31,0,1,,,,,,,,
Th(NO3)4,1.0,0.94,1.81,-242.0,1.902E-05,62.0049,4.0,3.35,-0.043,-6028.0,1.334E-05,232.03806,1.0,3.58,0.852,0.9663,11.3875,0.0,-0.1846,41,0,1,,,,,,,,